id,x,y,z,Punch 
255,-5.982056617736816,11.607583045959473,0.3517449200153351,Hook
256,-7.913064479827881,13.215559005737305,0.7752745151519775,Hook
257,-9.535398483276367,13.63191032409668,1.5649060010910034,Hook
258,-11.052447319030762,12.976277351379395,1.8041882514953613,Hook
259,-12.504891395568848,11.801401138305664,1.2993026971817017,Hook
260,-13.605589866638184,10.222138404846191,0.47617170214653015,Hook
261,-14.548361778259277,8.228917121887207,0.21774685382843018,Hook
262,-15.54377555847168,5.747560024261475,0.6484549641609192,Hook
263,-16.333406448364258,3.6849467754364014,1.4165509939193726,Hook
264,-17.051254272460938,1.9645073413848877,2.266003131866455,Hook
265,-17.75952911376953,-0.04307080805301666,3.1106693744659424,Hook
266,-18.120845794677734,-1.6151553392410278,3.6705899238586426,Hook
267,-18.183059692382812,-2.007578134536743,3.893122434616089,Hook
268,-18.18784523010254,-2.0673987865448,3.7974095344543457,Hook
269,-17.99402618408203,-1.8783657550811768,3.94815731048584,Hook
270,-18.027524948120117,-1.5912270545959473,4.503292083740234,Hook
271,-18.386449813842773,-1.2011969089508057,5.185246467590332,Hook
272,-18.518054962158203,-0.7800601720809937,5.240281581878662,Hook
273,-17.656639099121094,-0.014356935396790504,4.744967460632324,Hook
274,-15.756736755371094,1.2705888748168945,3.988835334777832,Hook
275,-13.792229652404785,2.2229323387145996,3.3092737197875977,Hook
276,-12.260823249816895,2.4526431560516357,3.2542388439178467,Hook
277,-10.925628662109375,2.414358139038086,3.565305709838867,Hook
278,-9.76989459991455,2.572284460067749,3.9840497970581055,Hook
279,-8.877371788024902,2.9288148880004883,4.275974273681641,Hook
280,-8.214560508728027,3.273381471633911,4.328616142272949,Hook
281,-7.802994728088379,3.2925238609313965,4.2281174659729,Hook
282,-7.678567886352539,2.5746772289276123,4.163511276245117,Hook
283,-7.611568927764893,1.277767300605774,4.1491546630859375,Hook
284,-7.678567886352539,-0.2967100143432617,4.395615100860596,Hook
285,-7.714460372924805,-1.4524433612823486,4.3788652420043945,Hook
286,-7.479963779449463,-1.703689694404602,3.900300979614258,Hook
287,-7.441678524017334,-1.222732424736023,3.342773199081421,Hook
288,-7.549355506896973,-0.8398807644844055,2.9216363430023193,Hook
289,-7.738388538360596,-0.763310432434082,2.641676187515259,Hook
290,-8.018348693847656,-0.8877372145652771,2.3856441974639893,Hook
291,-8.300702095031738,-1.2059825658798218,2.053041934967041,Hook
292,-8.58784008026123,-1.3878371715545654,1.832902193069458,Hook
293,-8.774480819702148,-1.2729816436767578,1.710868239402771,Hook
294,-8.925228118896484,-0.7728816866874695,1.5912270545959473,Hook
295,-9.150154113769531,-0.20817556977272034,1.4333007335662842,Hook
296,-9.32004451751709,0.3278166949748993,1.3232308626174927,Hook
297,-9.391828536987305,0.8303094506263733,1.246660590171814,Hook
298,-9.485149383544922,1.160519003868103,1.2370892763137817,Hook
299,-9.580862045288086,1.3710874319076538,1.306481122970581,Hook
300,-9.573683738708496,1.495514154434204,1.5002998113632202,Hook
301,-9.513862609863281,1.552941918373108,1.6342978477478027,Hook
